Species;Family;Region;Continent;Realm;First_Observation;IntentionalRelease;Latest_Reference;Latest_Reference_Year
Coleotechnites piceaella;Gelechiidae;Italy;Europe;Palearctic;1975;0;Roy, D., et al. (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe. Available at: http://www.europe-aliens.org/;2020
Coleotechnites piceaella;Gelechiidae;Slovakia;Europe;Palearctic;;0;Invasive Species Specialist Group ISSG (2020). Global Register of Introduced and Invasive Species GRIIS. Available at: https://griis.org;2020
Comostolopsis germana;Geometridae;Australia;Australia;Australian;;1;Mally, R., et al. (2022), Moths and butterflies on alien shores - global biogeography of non-native Lepidoptera. Dryad, Dataset. Available at: https://doi.org/10.5061/dryad.31zcrjdnw;2022
Comotia torsicornis;Pyralidae;France;Europe;Palearctic;;;Invasive Species Specialist Group ISSG (2020). Global Register of Introduced and Invasive Species GRIIS. Available at: https://griis.org;2020
Condica dolorosa;Noctuidae;Hawaii;Oceania;Nearctic;1977;0;Turner, R., et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo.;2024
Conistra rubiginosa;Noctuidae;United Kingdom;Europe;Palearctic;2011;0;Turner, R., et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo.;2024
Conogethes punctiferalis;Crambidae;Australia;Australia;Australian;;;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Conopomorpha cramerella;Gracillariidae;Samoa;Oceania;Oceanina;;0;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Conopomorpha litchiella;Gracillariidae;Japan;Asia;Oriental;1989;0;Turner, R., et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo.;2024
Conopomorpha litchiella;Gracillariidae;Japan;Asia;Sino-Japanese;1980;0;National Institute for Environmental Studies - Japan (2024). Invasive Species of Japan: Lepidopterans (provisional list);2024
Conopomorpha sinensis;Gracillariidae;Japan;Asia;Oriental;1990;0;Turner, R., et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo.;2024
Conopomorpha sinensis;Gracillariidae;Japan;Asia;Sino-Japanese;;0;National Institute for Environmental Studies - Japan (2024). Invasive Species of Japan: Lepidopterans (provisional list);2024
Copaxa lavendera;Saturniidae;Netherlands;Europe;Palearctic;;;Invasive Species Specialist Group ISSG (2020). Global Register of Introduced and Invasive Species GRIIS. Available at: https://griis.org;2020
Coptodisca juglandiella;Heliozelidae;Hungary;Europe;Palearctic;2018;0;Takacs, A., et al. (2020). Nearctic walnut leafminers invade Europe: first Coptodisca lucifluella (Clemens, 1860) and now Coptodisca juglandiella (Chambers, 1874)(Lepidoptera, Heliozelidae). Nota Lepidopterologica. 43: 77-93;2020
Coptodisca lucifluella;Heliozelidae;Italy;Europe;Palearctic;2010;0;Bernardo, U., et al. (2015). Characterization, distribution, biology and impact on Italian walnut orchards of the invasive North-American leafminer Coptodisca lucifluella (Lepidoptera: Heliozelidae). Bulletin of Entomological Research. 105: 210-224;2015
Corcyra cephalonica;Pyralidae;Australia;Australia;Australian;;;Mally, R., et al. (2022), Moths and butterflies on alien shores - global biogeography of non-native Lepidoptera. Dryad, Dataset. Available at: https://doi.org/10.5061/dryad.31zcrjdnw;2022
Corcyra cephalonica;Pyralidae;Bulgaria;Europe;Palearctic;1930;0;Roy, D., et al. (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe. Available at: http://www.europe-aliens.org/;2020
Corcyra cephalonica;Pyralidae;Galapagos;South America;Neotropical;2002;;Turner, R., et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo.;2024
Corcyra cephalonica;Pyralidae;Greece;Europe;Palearctic;1866;0;Pullaiah, T., Ielmini, M.R. (Eds.) (2021). Invasive Alien Species: Observations and Issues from Around the World. Volume 3: Issues and Invasions in Europe. Wiley. 326pp.;2021
Corcyra cephalonica;Pyralidae;Japan;Asia;Oriental;1920;0;Turner, R., et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo.;2024
Corcyra cephalonica;Pyralidae;Japan;Asia;Sino-Japanese;;0;National Institute for Environmental Studies - Japan (2024). Invasive Species of Japan: Lepidopterans (provisional list);2024
Corcyra cephalonica;Pyralidae;United States;North America;Nearctic;;0;Simpson, A., et al. (2022). United States Register of Introduced and Invasive Species (US-RIIS) (ver. 2.0, November 2022): U.S. Geological Survey data release. Available at: https://www.sciencebase.gov/catalog/item/62d59ae5d34e87fffb2dda99;2022
Corcyra cephalonica;Pyralidae;Hawaii;Oceania;Nearctic;1913;0;Turner, R., et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo.;2024
Corcyra cephalonica;Pyralidae;Venezuela;South America;Neotropical;;0;Pullaiah, T., Ielmini, M.R. (Eds.) (2021). Invasive Alien Species: Observations and Issues from Around the World. Volume 4: Issues and Invasions in the Americas and the Caribbean. Wiley. 384pp.;2021
Coscinoptycha improbana;Carposinidae;New Zealand;Oceania;Australian;1999;0;Turner, R., et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo.;2024
Cosmodes elegans;Noctuidae;New Zealand;Oceania;Australian;1922;;Turner, R., et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo.;2024
Cosmopterix attenuatella;Cosmopterigidae;New Zealand;Oceania;Australian;2006;;Turner, R., et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo.;2024
