Species;Family;Region;Continent;Realm;First_Observation;IntentionalRelease;Latest_Reference;Latest_Reference_Year
Abaeis nicippe;Pieridae;Hawaii;Oceania;Nearctic;2013;0;Turner, R., et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo.;2024
Acalyptris platani;Nepticulidae;United Kingdom;Europe;Palearctic;2023;;Richards, N. (2024).  Acalyptris platani (Muller-Rutz, 1934)(Lep.: Nepticulidae) new to the British Isles. Entomologists Record and Journal of Variation. 136: 36-38;2024
Acalyptris platani;Nepticulidae;Slovenia;Europe;Palearctic;;0;Lopez-Vaamonde, C., et al. (2010). Lepidoptera. Chapter 11. BioRisk. 4: 603-668;2010
Acentria ephemerella;Crambidae;United States;North America;Nearctic;1927;1;Simpson, A., et al. (2022). United States Register of Introduced and Invasive Species (US-RIIS) (ver. 2.0, November 2022): U.S. Geological Survey data release. Available at: https://www.sciencebase.gov/catalog/item/62d59ae5d34e87fffb2dda99;2022
Achaea ablunaris;Erebidae;United States;North America;Nearctic;1984;0;Simpson, A., et al. (2022). United States Register of Introduced and Invasive Species (US-RIIS) (ver. 2.0, November 2022): U.S. Geological Survey data release. Available at: https://www.sciencebase.gov/catalog/item/62d59ae5d34e87fffb2dda99;2022
Acharia stimulea;Limacodidae;Hungary;Europe;Palearctic;2007;0;Roy, D., et al. (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe. Available at: http://www.europe-aliens.org/;2020
Acharia stimulea;Limacodidae;Romania;Europe;Palearctic;;;Invasive Species Specialist Group ISSG (2020). Global Register of Introduced and Invasive Species GRIIS. Available at: https://griis.org;2020
Acherontia lachesis;Sphingidae;Hawaii;Oceania;Nearctic;;0;Integrated Taxonomic Information System (ITIS) (2024). Integrated Taxonomic Information System (ITIS) on-line database.  Available at: https://www.itis.gov;2024
Achroia grisella;Pyralidae;Bulgaria;Europe;Palearctic;1900;0;Timus, A. (2015). The Invasive Entomofauna of the Holometabola Group, Superorder Mecopteroidea for Republic of Moldova. Current Trends in Natural Sciences. 4(7): 50-58;2015
Achroia grisella;Pyralidae;Ireland;Europe;Palearctic;;;Invasive Species Specialist Group ISSG (2020). Global Register of Introduced and Invasive Species GRIIS. Available at: https://griis.org;2020
Achroia grisella;Pyralidae;New Zealand;Oceania;Australian;1908;;Turner, R., et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo.;2024
Achroia grisella;Pyralidae;United States;North America;Nearctic;1565;0;Simpson, A., et al. (2022). United States Register of Introduced and Invasive Species (US-RIIS) (ver. 2.0, November 2022): U.S. Geological Survey data release. Available at: https://www.sciencebase.gov/catalog/item/62d59ae5d34e87fffb2dda99;2022
Achroia grisella;Pyralidae;Hawaii;Oceania;Nearctic;1888;0;Turner, R., et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo.;2024
Achroia grisella;Pyralidae;South Africa;Africa;Afrotropical;;1;Turner, R., et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo.;2024
Achyra affinitalis;Crambidae;New Zealand;Oceania;Australian;1973;;Turner, R., et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo.;2024
Acleris comariana;Tortricidae;New Zealand;Oceania;Australian;1970;;Turner, R., et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo.;2024
Acleris comariana;Tortricidae;United States;North America;Nearctic;1972;0;Simpson, A., et al. (2022). United States Register of Introduced and Invasive Species (US-RIIS) (ver. 2.0, November 2022): U.S. Geological Survey data release. Available at: https://www.sciencebase.gov/catalog/item/62d59ae5d34e87fffb2dda99;2022
Acleris forsskaleana;Tortricidae;United States;North America;Nearctic;1932;0;Simpson, A., et al. (2022). United States Register of Introduced and Invasive Species (US-RIIS) (ver. 2.0, November 2022): U.S. Geological Survey data release. Available at: https://www.sciencebase.gov/catalog/item/62d59ae5d34e87fffb2dda99;2022
Acleris holmiana;Tortricidae;Canada;North America;Nearctic;1977;0;Gilligan, T., et al. (2020). Immigrant Tortricidae: Holarctic versus Introduced Species in North America. Insects. 11(9):594;2020
Acleris holmiana;Tortricidae;United States;North America;Nearctic;1974;0;Simpson, A., et al. (2022). United States Register of Introduced and Invasive Species (US-RIIS) (ver. 2.0, November 2022): U.S. Geological Survey data release. Available at: https://www.sciencebase.gov/catalog/item/62d59ae5d34e87fffb2dda99;2022
Acleris rhombana;Tortricidae;Canada;North America;Nearctic;2006;0;Petersen, W., Looney, C. (2020). New Moth Records in Washington State (USA) Acquired from Exotic Pest Surveys. The Journal of the Lepidopterists Society. 74(1): 57-61;2020
Acleris rhombana;Tortricidae;United States;North America;Nearctic;2017;0;Simpson, A., et al. (2022). United States Register of Introduced and Invasive Species (US-RIIS) (ver. 2.0, November 2022): U.S. Geological Survey data release. Available at: https://www.sciencebase.gov/catalog/item/62d59ae5d34e87fffb2dda99;2022
Acleris undulana;Tortricidae;Spain;Europe;Palearctic;1998;0;Roy, D., et al. (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe. Available at: http://www.europe-aliens.org/;2020
Acleris undulana;Tortricidae;France;Europe;Palearctic;;0;Invasive Species Specialist Group ISSG (2020). Global Register of Introduced and Invasive Species GRIIS. Available at: https://griis.org;2020
Acleris undulana;Tortricidae;Morocco;Africa;Saharo-Arabian;;0;Pullaiah, T., Ielmini, M.R. (Eds.) (2021). Invasive Alien Species: Observations and Issues from Around the World. Volume 1: Issues and Invasions in Africa. Wiley. 380pp.;2021
Acleris variegana;Tortricidae;Canada;North America;Nearctic;1922;0;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Acleris variegana;Tortricidae;Ireland;Europe;Palearctic;;;Invasive Species Specialist Group ISSG (2020). Global Register of Introduced and Invasive Species GRIIS. Available at: https://griis.org;2020
Acleris variegana;Tortricidae;Portugal;Europe;Palearctic;;0;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Acleris variegana;Tortricidae;United States;North America;Nearctic;1920;0;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Acleris zimmermani;Tortricidae;Hawaii;Oceania;Nearctic;1963;1;Turner, R., et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo.;2024
Acontia candefacta;Noctuidae;Bulgaria;Europe;Palearctic;2009;0;Stojanovic, D., et al. (2017). Expansion of the range of the introduced moth Acontia candefacta in southeastern Europe. Bulletin of Insectology. 70(1): 111-120;2017
Acontia candefacta;Noctuidae;United Kingdom;Europe;Palearctic;;0;Roy, D., et al. (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe. Available at: http://www.europe-aliens.org/;2020
Acontia candefacta;Noctuidae;Romania;Europe;Palearctic;2008;0;Invasive Species Specialist Group ISSG (2020). Global Register of Introduced and Invasive Species GRIIS. Available at: https://griis.org;2020
Acontia candefacta;Noctuidae;Russia Europe;Europe;Palearctic;1967;0;Roy, D., et al. (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe. Available at: http://www.europe-aliens.org/;2020
Acontia candefacta;Noctuidae;Russia Asia;Asia;Palearctic;1985;1;Invasive Species Specialist Group ISSG (2020). Global Register of Introduced and Invasive Species GRIIS. Available at: https://griis.org;2020
Acontia candefacta;Noctuidae;Serbia;Europe;Palearctic;2009;0;Stojanovic, D., et al. (2017). Expansion of the range of the introduced moth Acontia candefacta in southeastern Europe. Bulletin of Insectology. 70(1): 111-120;2017
Acontia candefacta;Noctuidae;Ukraine;Europe;Palearctic;2004;0;Stojanovic, D., et al. (2017). Expansion of the range of the introduced moth Acontia candefacta in southeastern Europe. Bulletin of Insectology. 70(1): 111-120;2017
Acontia crocata;Noctuidae;France;Europe;Palearctic;;;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Acontia exigua;Noctuidae;Galapagos;South America;Neotropical;1975;;Turner, R., et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo.;2024
Acontia margana;Noctuidae;Galapagos;South America;Neotropical;;;Mally, R., et al. (2022), Moths and butterflies on alien shores - global biogeography of non-native Lepidoptera. Dryad, Dataset. Available at: https://doi.org/10.5061/dryad.31zcrjdnw;2022
Acraea terpsicore;Nymphalidae;Australia;Australia;Australian;;;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Acrobasis suavella;Pyralidae;United States;North America;Nearctic;;0;Simpson, A., et al. (2022). United States Register of Introduced and Invasive Species (US-RIIS) (ver. 2.0, November 2022): U.S. Geological Survey data release. Available at: https://www.sciencebase.gov/catalog/item/62d59ae5d34e87fffb2dda99;2022
Acrocercops laciniella;Gracillariidae;New Zealand;Oceania;Australian;1999;0;Turner, R., et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo.;2024
Acrolepia assectella;Glyphipterigidae;Canada;North America;Nearctic;1993;0;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Acrolepia assectella;Glyphipterigidae;United States;North America;Nearctic;1993;0;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Acrolepia assectella;Glyphipterigidae;Hawaii;Oceania;Nearctic;1939;0;Turner, R., et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo.;2024
Acrolepia jaspidata;Glyphipterigidae;Galapagos;South America;Neotropical;;;Turner, R., et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo.;2024
Acrolepiopsis sapporensis;Glyphipterigidae;Hawaii;Oceania;Nearctic;1944;0;Turner, R., et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo.;2024
Actias selene;Saturniidae;Sweden;Europe;Palearctic;;;Invasive Species Specialist Group ISSG (2020). Global Register of Introduced and Invasive Species GRIIS. Available at: https://griis.org;2020
Adoxophyes privatana;Tortricidae;Denmark;Europe;Palearctic;;;Invasive Species Specialist Group ISSG (2020). Global Register of Introduced and Invasive Species GRIIS. Available at: https://griis.org;2020
Adoxophyes privatana;Tortricidae;United Kingdom;Europe;Palearctic;;0;Heckford, R. (1986). A specimen of the Adoxophyes privatana (Walker) species-group (Lepidoptera: Tortricidae) bred from imported orchids. Entomologists Gazette. 37: 196;1986
Aethes rubiginana;Tortricidae;Denmark;Europe;Palearctic;;;Invasive Species Specialist Group ISSG (2020). Global Register of Introduced and Invasive Species GRIIS. Available at: https://griis.org;2020
Aethes rutilana;Tortricidae;Canada;North America;Nearctic;1965;0;Gilligan, T., et al. (2020). Immigrant Tortricidae: Holarctic versus Introduced Species in North America. Insects. 11(9):594;2020
Agapeta zoegana;Tortricidae;United States;North America;Nearctic;1984;1;Simpson, A., et al. (2022). United States Register of Introduced and Invasive Species (US-RIIS) (ver. 2.0, November 2022): U.S. Geological Survey data release. Available at: https://www.sciencebase.gov/catalog/item/62d59ae5d34e87fffb2dda99;2022
Agassiziella angulipennis;Crambidae;United Kingdom;Europe;Palearctic;1977;0;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Agassiziella angulipennis;Crambidae;Netherlands;Europe;Palearctic;;0;Roy, D., et al. (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe. Available at: http://www.europe-aliens.org/;2020
Agathodes designalis;Crambidae;Galapagos;South America;Neotropical;1989;;Turner, R., et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo.;2024
Agathodes designalis;Crambidae;Gibraltar;Africa;Saharo-Arabian;2017;0;Perez, C. et al. (2018). Agathodes designalis (Guenee, 1854) from Gibraltar - an adventive species new to Europe (Lepidoptera: Crambidae, Spilomelinae). SHILAP Revista de Lepidopterologia. 46(184): 615-617;2018
Aglaonice hirtipalpis;Erebidae;United States;North America;Nearctic;1984;0;Simpson, A., et al. (2022). United States Register of Introduced and Invasive Species (US-RIIS) (ver. 2.0, November 2022): U.S. Geological Survey data release. Available at: https://www.sciencebase.gov/catalog/item/62d59ae5d34e87fffb2dda99;2022
Aglossa caprealis;Pyralidae;Australia;Australia;Australian;;;Mally, R., et al. (2022), Moths and butterflies on alien shores - global biogeography of non-native Lepidoptera. Dryad, Dataset. Available at: https://doi.org/10.5061/dryad.31zcrjdnw;2022
Aglossa caprealis;Pyralidae;New Zealand;Oceania;Australian;1935;;Turner, R., et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo.;2024
Aglossa caprealis;Pyralidae;United States;North America;Nearctic;1565;0;Simpson, A., et al. (2022). United States Register of Introduced and Invasive Species (US-RIIS) (ver. 2.0, November 2022): U.S. Geological Survey data release. Available at: https://www.sciencebase.gov/catalog/item/62d59ae5d34e87fffb2dda99;2022
Aglossa dimidiatus;Pyralidae;Japan;Asia;Sino-Japanese;;0;Turner, R., et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo.;2024
Aglossa dimidiatus;Pyralidae;South Korea;Asia;Palearctic;1930;;Turner, R., et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo.;2024
Aglossa pinguinalis;Pyralidae;New Zealand;Oceania;Australian;1955;;Turner, R., et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo.;2024
Aglossa pinguinalis;Pyralidae;United States;North America;Nearctic;1949;0;Simpson, A., et al. (2022). United States Register of Introduced and Invasive Species (US-RIIS) (ver. 2.0, November 2022): U.S. Geological Survey data release. Available at: https://www.sciencebase.gov/catalog/item/62d59ae5d34e87fffb2dda99;2022
Agonopterix alstromeriana;Depressariidae;Australia;Australia;Australian;;;Mally, R., et al. (2022), Moths and butterflies on alien shores - global biogeography of non-native Lepidoptera. Dryad, Dataset. Available at: https://doi.org/10.5061/dryad.31zcrjdnw;2022
Agonopterix alstromeriana;Depressariidae;New Zealand;Oceania;Australian;1986;0;Turner, R., et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo.;2024
Agonopterix alstromeriana;Depressariidae;United States;North America;Nearctic;1987;0;Simpson, A., et al. (2022). United States Register of Introduced and Invasive Species (US-RIIS) (ver. 2.0, November 2022): U.S. Geological Survey data release. Available at: https://www.sciencebase.gov/catalog/item/62d59ae5d34e87fffb2dda99;2022
Agonopterix assimilella;Depressariidae;New Zealand;Oceania;Australian;2008;1;Turner, R., et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo.;2024
Agonopterix heracliana;Depressariidae;Chile;South America;Neotropical;;1;Ireson, J., et al. (2013). Host testing, establishment and biology of the gorse soft shoot moth, Agonopterix umbellana (Fabricius)(Lepidoptera: Oecophoridae), a potential biological control agent for gorse, Ulex europaeus L.(Fabaceae), in Australia. Biological Control. 67(3): 451-461;2013
Agonopterix heracliana;Depressariidae;New Zealand;Oceania;Australian;1990;1;Turner, R., et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo.;2024
Agonopterix heracliana;Depressariidae;Hawaii;Oceania;Nearctic;;1;Ireson, J., et al. (2013). Host testing, establishment and biology of the gorse soft shoot moth, Agonopterix umbellana (Fabricius)(Lepidoptera: Oecophoridae), a potential biological control agent for gorse, Ulex europaeus L.(Fabaceae), in Australia. Biological Control. 67(3): 451-461;2013
Agonopterix nervosa;Depressariidae;Canada;North America;Nearctic;1915;0;Andreas, J., et al. (2022). Common Gorse Biocontrol Agents: History and Ecology in North America. In: R. Winston, Ed. Biological Control of Weeds in North America. North American Invasive Species Management Association, Milwaukee, WI. NAISMA-BCW-2022-12-GORSE-A;2022
Agonopterix nervosa;Depressariidae;United States;North America;Nearctic;1915;0;Simpson, A., et al. (2022). United States Register of Introduced and Invasive Species (US-RIIS) (ver. 2.0, November 2022): U.S. Geological Survey data release. Available at: https://www.sciencebase.gov/catalog/item/62d59ae5d34e87fffb2dda99;2022
Agonopterix ulicetella;Depressariidae;Chile;South America;Neotropical;1997;1;Turner, R., et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo.;2024
Agonoxena argaula;Elachistidae;Guam;Oceania;Oceanina;;0;Shine, C., et al. (2003). Invasive alien species in the Austral Pacific Region: National Reports and Directory of Resources. Global Invasive Species Programme, Cape Town, South Africa.;2003
Agonoxena argaula;Elachistidae;Hawaii;Oceania;Nearctic;1949;0;Turner, R., et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo.;2024
Agonoxena pyrogramma;Elachistidae;Cook Islands;Oceania;Oceanina;;0;Shine, C., et al. (2003). Invasive alien species in the Austral Pacific Region: National Reports and Directory of Resources. Global Invasive Species Programme, Cape Town, South Africa.;2003
Agrius cingulata;Sphingidae;Barbados;North America;Panamanian;;;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Agrius cingulata;Sphingidae;Cabo Verde;Africa;Afrotropical;;0;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Agrius cingulata;Sphingidae;Dominica;North America;Panamanian;;;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Agrius cingulata;Sphingidae;Ireland;Europe;Palearctic;;;Invasive Species Specialist Group ISSG (2020). Global Register of Introduced and Invasive Species GRIIS. Available at: https://griis.org;2020
Agrius convolvuli;Sphingidae;Australia;Australia;Australian;;;Mally, R., et al. (2022), Moths and butterflies on alien shores - global biogeography of non-native Lepidoptera. Dryad, Dataset. Available at: https://doi.org/10.5061/dryad.31zcrjdnw;2022
Agrius convolvuli;Sphingidae;Vanuatu;Oceania;Oceanina;;0;Shine, C., et al. (2003). Invasive alien species in the Austral Pacific Region: National Reports and Directory of Resources. Global Invasive Species Programme, Cape Town, South Africa.;2003
Agrochola lota;Noctuidae;United States;North America;Nearctic;1976;0;Simpson, A., et al. (2022). United States Register of Introduced and Invasive Species (US-RIIS) (ver. 2.0, November 2022): U.S. Geological Survey data release. Available at: https://www.sciencebase.gov/catalog/item/62d59ae5d34e87fffb2dda99;2022
Agrotis ipsilon;Noctuidae;Chile;South America;Neotropical;1852;;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Agrotis ipsilon;Noctuidae;South Africa;Africa;Afrotropical;;;Turner, R., et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo.;2024
Feltia subterranea;Noctuidae;Hawaii;Oceania;Nearctic;2006;0;Turner, R., et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo.;2024
Amorbia emigratella;Tortricidae;Hawaii;Oceania;Nearctic;1911;0;Turner, R., et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo.;2024
Amphipyra tragopoginis;Noctuidae;United States;North America;Nearctic;1859;0;Simpson, A., et al. (2022). United States Register of Introduced and Invasive Species (US-RIIS) (ver. 2.0, November 2022): U.S. Geological Survey data release. Available at: https://www.sciencebase.gov/catalog/item/62d59ae5d34e87fffb2dda99;2022
Amyelois transitella;Pyralidae;Austria;Europe;Palearctic;;0;Invasive Species Specialist Group ISSG (2020). Global Register of Introduced and Invasive Species GRIIS. Available at: https://griis.org;2020
Amyelois transitella;Pyralidae;Italy;Europe;Palearctic;;0;Roy, D., et al. (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe. Available at: http://www.europe-aliens.org/;2020
Amyelois transitella;Pyralidae;Hawaii;Oceania;Nearctic;1948;0;Simpson, A., et al. (2022). United States Register of Introduced and Invasive Species (US-RIIS) (ver. 2.0, November 2022): U.S. Geological Survey data release. Available at: https://www.sciencebase.gov/catalog/item/62d59ae5d34e87fffb2dda99;2022
Amyelois transitella;Pyralidae;South Africa;Africa;Afrotropical;;;Turner, R., et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo.;2024
Amyna axis;Noctuidae;Hawaii;Oceania;Nearctic;1974;0;Turner, R., et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo.;2024
Amyna natalis;Noctuidae;Hawaii;Oceania;Nearctic;1945;0;Turner, R., et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo.;2024
Anacampsis humilis;Gelechiidae;Chile;South America;Neotropical;1965;;Turner, R., et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo.;2024
Anacampsis populella;Gelechiidae;United States;North America;Nearctic;1963;0;Simpson, A., et al. (2022). United States Register of Introduced and Invasive Species (US-RIIS) (ver. 2.0, November 2022): U.S. Geological Survey data release. Available at: https://www.sciencebase.gov/catalog/item/62d59ae5d34e87fffb2dda99;2022
Anania hortulata;Crambidae;United States;North America;Nearctic;1907;0;Simpson, A., et al. (2022). United States Register of Introduced and Invasive Species (US-RIIS) (ver. 2.0, November 2022): U.S. Geological Survey data release. Available at: https://www.sciencebase.gov/catalog/item/62d59ae5d34e87fffb2dda99;2022
Anarsia lineatella;Gelechiidae;China;Asia;Palearctic;;;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database. Available at: https://gd.eppo.int;2024
Anarsia lineatella;Gelechiidae;United States;North America;Nearctic;1625;0;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database. Available at: https://gd.eppo.int;2024
Anarta decepta;Noctuidae;Hawaii;Oceania;Nearctic;1947;0;Turner, R., et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo.;2024
Anarta edwardsii;Noctuidae;Hawaii;Oceania;Nearctic;;0;Turner, R., et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo.;2024
Anartia lytraea;Nymphalidae;United States;North America;Nearctic;1972;0;Simpson, A., et al. (2022). United States Register of Introduced and Invasive Species (US-RIIS) (ver. 2.0, November 2022): U.S. Geological Survey data release. Available at: https://www.sciencebase.gov/catalog/item/62d59ae5d34e87fffb2dda99;2022
Anatrachyntis badia;Cosmopterigidae;Australia;Australia;Australian;;;Mally, R., et al. (2022), Moths and butterflies on alien shores - global biogeography of non-native Lepidoptera. Dryad, Dataset. Available at: https://doi.org/10.5061/dryad.31zcrjdnw;2022
Anatrachyntis badia;Cosmopterigidae;Spain;Europe;Palearctic;;0;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database. Available at: https://gd.eppo.int;2024
Anatrachyntis badia;Cosmopterigidae;France;Europe;Palearctic;2000;0;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database. Available at: https://gd.eppo.int;2024
Anatrachyntis badia;Cosmopterigidae;United Kingdom;Europe;Palearctic;;0;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database. Available at: https://gd.eppo.int;2024
Anatrachyntis badia;Cosmopterigidae;Greece;Europe;Palearctic;;0;Dawidowicz, L., Rozwalka, R. (2017). Anatrachyntis badia (Hodges, 1962) (Lepidoptera: Cosmopterigidae): the first report from Turkey and a case of importation to Poland. Turkish Journal of Zoology. 41: 60-63;2017
Anatrachyntis badia;Cosmopterigidae;Italy;Europe;Palearctic;;0;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database. Available at: https://gd.eppo.int;2024
Anatrachyntis badia;Cosmopterigidae;Netherlands;Europe;Palearctic;;0;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database. Available at: https://gd.eppo.int;2024
Anatrachyntis badia;Cosmopterigidae;Poland;Europe;Palearctic;2014;0;Invasive Species Specialist Group ISSG (2020). Global Register of Introduced and Invasive Species GRIIS. Available at: https://griis.org;2020
Anatrachyntis badia;Cosmopterigidae;Turkey;Asia;Palearctic;2014;0;Dawidowicz, L., Rozwalka, R. (2017). Anatrachyntis badia (Hodges, 1962) (Lepidoptera: Cosmopterigidae): the first report from Turkey and a case of importation to Poland. Turkish Journal of Zoology. 41: 60-63;2017
Anatrachyntis badia;Cosmopterigidae;Hawaii;Oceania;Nearctic;1964;0;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database. Available at: https://gd.eppo.int;2024
Anatrachyntis rileyi;Cosmopterigidae;Colombia;South America;Neotropical;;;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Anatrachyntis rileyi;Cosmopterigidae;Costa Rica;North America;Panamanian;;;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Anatrachyntis rileyi;Cosmopterigidae;Cuba;North America;Panamanian;;;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Anatrachyntis rileyi;Cosmopterigidae;Dominican Republic;North America;Panamanian;;;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Anatrachyntis rileyi;Cosmopterigidae;Ecuador;South America;Neotropical;1999;;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Anatrachyntis rileyi;Cosmopterigidae;Galapagos;South America;Neotropical;2000;;Turner, R., et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo.;2024
Anatrachyntis rileyi;Cosmopterigidae;Egypt;Africa;Saharo-Arabian;1981;;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Anatrachyntis rileyi;Cosmopterigidae;Honduras;North America;Panamanian;;;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Anatrachyntis rileyi;Cosmopterigidae;Jamaica;North America;Panamanian;;;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Anatrachyntis rileyi;Cosmopterigidae;Japan;Asia;Oriental;;;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Anatrachyntis rileyi;Cosmopterigidae;Japan;Asia;Sino-Japanese;1982;0;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Anatrachyntis rileyi;Cosmopterigidae;Mauritius;Africa;Oceanina;2016;;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Anatrachyntis rileyi;Cosmopterigidae;Panama;North America;Panamanian;;;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Anatrachyntis rileyi;Cosmopterigidae;El Salvador;North America;Panamanian;;;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Anatrachyntis rileyi;Cosmopterigidae;Thailand;Asia;Oriental;1990;;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Anatrachyntis rileyi;Cosmopterigidae;Trinidad and Tobago;South America;Neotropical;;;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Anatrachyntis rileyi;Cosmopterigidae;United States;North America;Nearctic;;;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Anatrachyntis rileyi;Cosmopterigidae;Hawaii;Oceania;Nearctic;1892;0;Turner, R., et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo.;2024
